Charge,2019,2020,2021,2022,2023,Total Cases 2023,Average Days to Dispo 2023,Median Days to Dispo 2023
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Aggravated battery with a firearm,338.0000,,,,,,,
Aggravated unlawful use of a weapon,174.0000,,,,,,,
Armed habitual criminal,321.0000,,,,,,,
Armed robbery,291.0000,,,,,,,
Armed robbery with a firearm,173.0000,,,,,,,
Armed violence,242.0000,,,,,,,
Arson/possession of explosives,302.0000,,,,,,,
Assault/aggravated assault,78.0000,,,,,,,
Battery/aggravated battery,148.5000,,,,,,,
Battery/assault/neglect - other,91.0000,,,,,,,
Bribery/official misconduct/money laundering/racketeering,346.0000,,,,,,,
Bringing contraband in a penal institution,305.0000,,,,,,,
Burglary,241.0000,,,,,,,
Cannabis/controlled substance trafficking or drug conspiracy,130.5000,,,,,,,
Child pornography,234.0000,,,,,,,
Criminal damage to property/institutional vandalism,122.0000,,,,,,,
Criminal sexual abuse/aggravated criminal sexual abuse,384.0000,,,,,,,
Criminal sexual assault/aggravated criminal sexual assault,455.5000,,,,,,,
Criminal trespass to a residence/property,68.0000,,,,,,,
Delivery of cannabis on school grounds,54.0000,,,,,,,
Delivery of cannabis/controlled substance to person under 18,84.5000,,,,,,,
Disorderly conduct,142.0000,,,,,,,
Domestic battery/aggravated domestic battery,43.0000,,,,,,,
Driving on a suspended license,121.0000,,,,,,,
Driving without a license,70.5000,,,,,,,
Driving without insurance,103.0000,,,,,,,
Drug offense - other,84.0000,,,,,,,
DUI,244.0000,,,,,,,
Escape/aiding escape,1501.0000,,,,,,,
Failing to report a death,120.5000,,,,,,,
"Failure to register as arsonist, sex offender, child murder",97.0000,,,,,,,
Fleeing or eluding police,207.0000,,,,,,,
Forgery,266.0000,,,,,,,
Fraud - Credit card,223.5000,,,,,,,
Fraud - other,252.0000,,,,,,,
Gunrunning/unlawful sale or delivery of firearms,639.5000,,,,,,,
Hate crime,165.5000,,,,,,,
Home invasion,441.5000,,,,,,,
Home invasion with a firearm,257.5000,,,,,,,
Human trafficking/involuntary servitude,258.0000,,,,,,,
Identity theft,247.5000,,,,,,,
Intimidation/threats,282.0000,,,,,,,
Kidnapping/aggravated kidnapping,286.0000,,,,,,,
Manufacture/delivery of cannabis/controlled substance,170.0000,,,,,,,
Mob action,1213.0000,,,,,,,
"Murder - attempt, conspiracy, solicitation",644.5000,,,,,,,
Murder - first degree,805.0000,,,,,,,
Murder - second degree/involuntary mansl/reckless homicide/drug,530.0000,,,,,,,
Obstructing justice/resisting or obstructing peace officer,150.0000,,,,,,,
Offenses harming children,181.0000,,,,,,,
Perjury/communicating or harassing witnesses/contempt,167.0000,,,,,,,
Possession of cannabis/controlled substance,94.0000,,,,,,,
Possession of stolen motor vehicle,218.5000,,,,,,,
Property Offense - Other,66.5000,,,,,,,
Prostitution-related offenses,139.5000,,,,,,,
